Westco Service Company,2016-05-24 00:00:00.0,2016-06-30 00:00:00.0,0.0000,0,100,0.0000,2016-05-24 12:45:33.417,,,0.0000,0.0000,1,0,Shadow Hills,8,,2,12480,002- Qualified Opp/Demo Set,1,Open,0
Design Collaborative Inc,2016-05-20 00:00:00.0,2016-07-31 00:00:00.0,0.0000,0,100,0.0000,2016-05-24 09:50:43.7,,,0.0000,0.0000,1,0,,0,,2,12480,002- Qualified Opp/Demo Set,1,Open,0
Endurable Building Products,,,0.0000,0,100,0.0000,2016-05-23 16:35:52.983,,,0.0000,0.0000,1,0,,0,,2,12479,001- New Opportunity,1,Open,0
Ironwood Construction,2016-05-23 00:00:00.0,2016-06-30 00:00:00.0,0.0000,0,100,0.0000,2016-05-23 15:04:38.52,,,0.0000,0.0000,1,0,,49,,2,12480,002- Qualified Opp/Demo Set,1,Open,0
M. A. Mortenson Company,,,0.0000,0,100,0.0000,2016-05-23 11:15:32.76,,,0.0000,0.0000,1,0,,0,,2,12479,001- New Opportunity,1,Open,0
Sletten Companies,2016-05-19 00:00:00.0,2016-06-30 00:00:00.0,10000.0000,0,100,0.0000,2016-05-19 12:22:13.997,2016-06-03 00:00:00.0,,0.0000,0.0000,1,0,Phoenix,7,,2,12480,002- Qualified Opp/Demo Set,1,Open,0
"Herrero Builders, Inc. Cosential/Vista by Viewpoint Financial Data Connector",,2016-03-21 00:00:00.0,2500.0000,0,100,0.0000,2016-05-18 16:20:59.4,,,0.0000,0.0000,2,1,San Francisco,8,94124,2,7,006-Signed MSA,2,Closed/Won,0
VMDO Architects Upsell May 2016,2016-05-12 00:00:00.0,2016-05-31 00:00:00.0,495.0000,0,100,0.0000,2016-05-18 10:27:15.32,2016-05-11 00:00:00.0,,0.0000,0.0000,1,1,Charlottesville,50,22901-5251,2,12482,004-Proposal Sent/Reference Checks,1,Open,0
Miles Corp,2016-05-18 00:00:00.0,2016-06-30 00:00:00.0,0.0000,0,100,0.0000,2016-05-18 09:45:49.513,,,0.0000,0.0000,1,0,Austin,48,,2,12480,002- Qualified Opp/Demo Set,1,Open,1
DeShazo Group,2016-05-17 00:00:00.0,2016-05-31 00:00:00.0,4500.0000,0,100,0.0000,2016-05-17 18:02:52.91,2016-05-31 00:00:00.0,,0.0000,0.0000,1,0,Dallas,48,,2,12480,002- Qualified Opp/Demo Set,1,Open,0
"Plant Construction Company, L.P.",2016-05-26 00:00:00.0,2016-09-30 00:00:00.0,0.0000,0,100,0.0000,2016-05-17 16:56:05.143,,,0.0000,0.0000,1,0,,0,,2,12480,002- Qualified Opp/Demo Set,1,Open,0
CB&A,2016-05-17 00:00:00.0,2016-06-30 00:00:00.0,3000.0000,0,100,0.0000,2016-05-17 14:17:29.923,2016-05-20 00:00:00.0,,0.0000,0.0000,1,0,Birmingham,5,,2,12481,003-Demo Complete/Evaluating,1,Open,0
BrightView Design Group,2016-05-16 00:00:00.0,2016-05-31 00:00:00.0,0.0000,0,100,0.0000,2016-05-16 13:19:23.89,,,0.0000,0.0000,1,0,Denver,9,,2,12480,002- Qualified Opp/Demo Set,1,Open,0
Champion 1 Construction Co.inc,2016-05-16 00:00:00.0,2016-05-31 00:00:00.0,0.0000,0,100,0.0000,2016-05-16 11:49:54.82,,,0.0000,0.0000,1,0,Floral Park,38,,2,12480,002- Qualified Opp/Demo Set,1,Open,0
Me group,2016-05-16 00:00:00.0,2016-06-30 00:00:00.0,7500.0000,0,100,0.0000,2016-05-16 09:22:47.263,2016-05-26 00:00:00.0,,0.0000,0.0000,1,0,Kansas City,20,,2,12480,002- Qualified Opp/Demo Set,1,Open,0
AMPAM Parks Mechanical,2016-05-13 00:00:00.0,2016-06-30 00:00:00.0,7500.0000,0,100,0.0000,2016-05-13 17:07:51.293,2016-05-18 00:00:00.0,,0.0000,0.0000,1,0,Wilmington,8,,2,12480,002- Qualified Opp/Demo Set,1,Open,0
"Onex, Inc",2016-05-13 00:00:00.0,2016-06-30 00:00:00.0,7080.0000,80,100,0.0000,2016-05-13 15:03:25.27,2016-05-17 00:00:00.0,,0.0000,0.0000,1,0,Erie,42,,2,12482,004-Proposal Sent/Reference Checks,1,Open,0
Leonard Rice Engineers,2016-05-13 00:00:00.0,2016-06-30 00:00:00.0,4500.0000,0,100,0.0000,2016-05-13 13:48:26.683,2016-05-17 00:00:00.0,2016-05-24 00:00:00.0,0.0000,0.0000,1,0,Denver,9,,2,12481,003-Demo Complete/Evaluating,1,Open,0
Hermes Landscaping,2016-05-13 00:00:00.0,2016-07-31 00:00:00.0,0.0000,0,100,0.0000,2016-05-13 11:10:01.03,,,0.0000,0.0000,1,0,Lenexa,20,,2,12480,002- Qualified Opp/Demo Set,1,Open,0
Maser Consulting,2016-05-13 00:00:00.0,2016-05-31 00:00:00.0,0.0000,0,100,0.0000,2016-05-13 09:32:58.887,,,0.0000,0.0000,1,0,Red Bank,35,,2,12480,002- Qualified Opp/Demo Set,1,Open,0
"Andropogon Associates, Ltd.",2016-05-17 00:00:00.0,2016-06-30 00:00:00.0,0.0000,0,100,0.0000,2016-05-12 16:46:32.467,,,0.0000,0.0000,1,0,,0,,2,12480,002- Qualified Opp/Demo Set,1,Open,0
JNKA Architects,2016-05-12 00:00:00.0,2016-05-31 00:00:00.0,0.0000,0,100,0.0000,2016-05-12 11:29:06.68,,,0.0000,0.0000,1,0,Park Ridge,18,,2,12480,002- Qualified Opp/Demo Set,1,Open,0
